,Name,Team,Creativity per fixture,Creativity per game,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1
79,Dan Burn,Brighton,12.814285714285715,12.814285714285715,17.1,17.3,1.5,13.8,1.9,21.8,25.8,1.1,22.4,16.0,1.5,12.6,25.3,1.3
80,Tom Cleverley,Watford,12.771428571428572,19.866666666666667,0.0,0.0,0.0,0.0,0.2,1.8,28.7,25.9,11.8,37.4,37.4,35.3,0.3,0.0
81,Davy Pröpper,Brighton,12.742857142857144,14.866666666666667,4.8,4.3,2.6,29.0,16.9,29.6,0.0,0.0,44.8,12.9,1.4,2.7,13.1,16.3
82,Sébastien Haller,West Ham,12.392857142857142,13.346153846153847,0.6,3.3,3.7,16.7,27.8,14.6,3.9,44.1,4.7,37.4,6.6,2.3,0.0,7.8
83,Danny Rose,Spurs,12.307142857142859,17.23,0.0,0.0,0.0,0.0,28.9,9.7,0.0,12.4,16.3,24.5,0.3,26.9,0.3,53.0
84,Nathan Redmond,Southampton,12.299999999999999,14.35,3.4,23.3,3.4,23.5,2.6,5.0,2.3,18.8,40.4,0.0,0.0,23.5,22.9,3.1
85,Matthew Lowton,Burnley,12.178571428571429,15.5,0.0,0.0,0.0,3.8,13.0,17.3,4.9,15.3,40.0,1.8,14.1,29.6,15.4,15.3
86,Jonjo Shelvey,Newcastle,12.042857142857143,18.733333333333334,11.0,16.8,39.8,5.7,0.0,0.0,0.0,0.0,48.4,1.6,0.0,0.0,40.5,4.8
87,James McArthur,Crystal Palace,12.028571428571427,12.953846153846152,7.2,20.9,0.8,3.5,25.8,22.5,2.1,24.9,23.1,0.0,22.1,0.8,3.1,11.6
88,Paul Pogba,Man Utd,12.0,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,47.5,27.6,17.3,47.8
89,Tammy Abraham,Chelsea,11.828571428571427,12.738461538461538,0.0,22.7,1.8,13.2,12.3,2.6,10.3,28.3,0.8,1.9,46.8,12.5,11.6,0.8
90,Matt Targett,Aston Villa,11.77142857142857,20.599999999999998,21.7,13.3,1.0,14.6,19.0,44.7,33.3,17.2,0.0,0.0,0.0,0.0,0.0,0.0
91,Ryan Fredericks,West Ham,11.72857142857143,12.630769230769232,1.6,21.3,12.7,2.1,0.0,1.4,57.3,13.3,3.8,22.4,12.0,2.9,11.6,1.8
92,Roberto Pereyra,Watford,11.67857142857143,14.863636363636367,0.0,0.0,12.4,14.6,4.4,12.3,13.0,37.5,1.4,21.9,35.4,0.0,7.3,3.3
93,Conor Hourihane,Aston Villa,11.657142857142858,18.133333333333336,2.7,41.7,0.0,0.6,0.0,30.4,36.3,14.6,1.0,0.0,25.1,0.0,0.0,10.8
94,Martín Montoya,Brighton,11.542857142857143,12.430769230769231,16.7,2.7,0.5,29.1,2.5,18.8,4.1,25.3,4.1,0.0,17.4,1.8,26.0,12.6
95,Sergio Agüero,Man City,11.507142857142858,13.425000000000002,0.0,22.3,1.7,1.1,0.3,0.0,12.6,2.8,38.1,13.3,23.1,34.6,10.9,0.3
96,Christian Atsu,Newcastle,11.37142857142857,13.266666666666666,10.3,0.6,0.0,1.6,0.2,14.5,0.0,7.1,4.5,40.9,48.2,31.3,0.0,0.0
97,Patrick van Aanholt,Crystal Palace,11.178571428571429,11.178571428571429,1.8,15.9,12.2,1.8,26.8,17.1,24.3,18.7,3.2,1.3,17.4,1.1,14.4,0.5
98,Ryan Bertrand,Southampton,11.07142857142857,17.222222222222218,8.8,22.2,0.0,0.0,0.0,25.8,10.9,52.8,26.7,0.0,0.0,0.0,1.1,6.7
99,Harry Kane,Spurs,10.992857142857142,11.838461538461537,24.8,12.5,11.5,0.0,10.8,2.8,28.8,1.3,2.9,18.0,11.8,2.8,1.8,24.1
100,Harry Winks,Spurs,10.885714285714286,11.723076923076924,0.1,17.3,14.9,0.0,0.8,15.2,3.5,4.0,16.0,3.6,22.1,24.5,0.8,29.6
101,Francisco Femenía Far,Watford,10.871428571428572,15.220000000000002,5.3,8.0,0.0,14.8,0.0,0.1,0.0,0.0,1.7,38.7,16.3,30.5,1.9,34.9
102,Steven Alzate,Brighton,10.779999999999998,13.474999999999998,19.6,0.0,23.6,26.0,3.8,0.1,3.8,6.5,24.4,0.0,0.0,0.0,0.0,0.0
103,Sean Longstaff,Newcastle,10.764285714285716,18.837500000000002,0.0,0.0,0.0,0.0,34.7,1.3,48.0,11.2,0.0,0.0,41.7,0.5,11.5,1.8
104,Frederico Rodrigues de Paula Santos,Man Utd,10.678571428571429,14.95,39.9,6.5,19.1,38.5,2.8,2.2,8.0,10.8,21.3,0.4,0.0,0.0,0.0,0.0
105,Wilfred Ndidi,Leicester,10.664285714285715,11.484615384615385,49.4,2.3,12.2,1.7,16.0,5.6,4.8,14.9,1.3,3.3,22.2,0.0,1.8,13.8
106,Kyle Walker,Man City,10.62142857142857,13.518181818181818,23.2,0.0,2.3,28.1,0.0,0.0,3.1,18.8,2.8,8.5,3.8,4.3,30.5,23.3
107,Jonathan Castro Otto,Wolves,10.442857142857145,11.246153846153847,13.3,24.4,2.1,35.9,22.9,2.9,0.0,3.3,16.7,4.3,0.0,5.3,2.8,12.3
108,Ayoze Pérez,Leicester,10.428571428571429,11.23076923076923,4.2,21.6,7.3,5.8,15.6,5.9,10.3,21.7,12.4,2.8,0.0,24.7,10.1,3.6
109,Danny Ings,Southampton,10.392857142857142,10.392857142857142,26.6,11.3,0.6,1.7,1.8,10.9,10.8,12.6,10.3,0.7,14.8,31.6,0.8,11.0
110,Moussa Sissoko,Spurs,10.357142857142858,10.357142857142858,16.3,0.0,13.9,1.4,4.4,18.0,4.5,3.3,1.5,5.9,3.8,50.0,1.7,20.3
111,George Baldock,Sheffield Utd,10.142857142857144,10.142857142857144,20.0,4.3,6.6,10.4,1.2,5.8,10.0,15.2,1.0,26.7,5.9,22.8,8.3,3.8
112,Solomon March,Brighton,10.114285714285714,17.7,0.0,9.7,6.1,0.0,0.0,11.7,0.0,0.0,0.0,39.8,16.8,24.4,31.4,1.7
113,Miguel Almirón,Newcastle,10.107142857142858,10.107142857142858,12.9,22.5,25.7,2.7,26.8,3.3,0.9,13.1,0.5,1.3,14.0,1.4,2.9,13.5
114,Callum Hudson-Odoi,Chelsea,10.1,20.2,3.3,0.0,0.3,1.3,15.8,72.0,34.8,13.9,0.0,0.0,0.0,0.0,0.0,0.0
115,Jordan Henderson,Liverpool,10.078571428571427,10.853846153846153,3.0,18.2,16.2,32.5,17.7,7.6,1.6,8.7,2.6,0.0,16.8,6.7,3.3,6.2
116,Allan Saint-Maximin,Newcastle,9.978571428571428,13.969999999999999,1.8,2.0,31.2,15.2,15.7,39.4,22.0,0.0,10.2,0.0,0.0,1.0,0.0,1.2
117,Jesse Lingard,Man Utd,9.971428571428572,12.69090909090909,1.9,43.6,2.6,22.7,11.1,0.0,0.0,13.5,0.8,0.0,12.2,14.3,3.6,13.3
118,Neal Maupay,Brighton,9.957142857142859,9.957142857142859,0.8,12.1,2.8,4.1,26.1,26.9,24.0,4.1,4.2,2.9,12.0,10.8,5.8,2.8
119,Scott McTominay,Man Utd,9.85,11.491666666666667,0.0,0.0,21.8,14.2,5.7,1.7,13.6,12.0,14.6,2.4,32.2,14.6,3.9,1.2
120,Bukayo Saka,Arsenal,9.620000000000001,13.742857142857144,4.8,0.0,0.0,1.4,0.7,17.7,26.3,30.0,15.3,0.0,0.0,0.0,0.0,0.0
121,Marco Stiepermann,Norwich,9.607142857142858,12.227272727272727,0.0,0.0,13.3,24.8,13.9,0.0,11.6,12.1,17.9,14.6,5.5,1.6,18.8,0.4
122,Alexandre Lacazette,Arsenal,9.528571428571427,14.82222222222222,17.1,25.4,2.3,36.9,16.2,11.1,0.0,0.0,0.0,0.0,12.1,0.5,11.8,0.0
123,Erik Pieters,Burnley,9.471428571428572,11.049999999999999,0.8,0.0,0.0,10.9,2.7,1.8,14.6,29.2,13.7,15.9,1.3,11.3,5.3,25.1
124,Sofiane Boufal,Southampton,9.400000000000002,11.963636363636367,15.7,10.8,1.1,0.0,0.0,0.7,0.3,24.8,14.9,28.9,11.8,10.3,0.0,12.3
125,Jamie Vardy,Leicester,9.385714285714284,9.385714285714284,16.7,12.8,21.8,0.9,3.0,16.5,1.8,12.8,11.2,11.3,13.6,1.8,2.3,4.9
126,Aaron Wan-Bissaka,Man Utd,9.285714285714286,10.833333333333334,16.7,5.2,12.2,2.8,4.2,12.7,0.0,0.0,2.4,12.4,13.2,21.1,11.0,16.1
127,Marcos Alonso,Chelsea,9.278571428571428,18.557142857142857,0.0,0.0,0.0,0.0,6.5,17.9,17.3,27.3,43.3,17.6,0.0,0.0,0.0,0.0
128,Jamal Lewis,Norwich,9.257142857142856,10.799999999999999,0.0,0.0,3.5,2.6,0.8,2.2,18.2,23.3,22.9,1.2,16.8,5.8,7.2,25.1
129,Andros Townsend,Crystal Palace,9.221428571428572,10.758333333333333,17.2,41.1,4.8,0.0,22.4,0.8,0.5,15.2,0.0,1.3,10.5,0.0,3.6,11.7
