,Name,Team,Threat per fixture,Threat per game,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1
261,Joel Matip,Liverpool,2.6923076923076925,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,19.0,4.0,0.0
262,Harry Winks,Spurs,2.6153846153846154,2.8333333333333335,0.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,16.0,0.0,2.0,0.0,1.0
263,Frédéric Guilbert,Aston Villa,2.5384615384615383,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,9.0,3.0,0.0,0.0
264,Nemanja Matic,Man Utd,2.4615384615384617,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,21.0,0.0,0.0,0.0
265,Francisco Femenía Far,Watford,2.3846153846153846,3.4444444444444446,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,8.0,7.0
266,Ainsley Maitland-Niles,Arsenal,2.3846153846153846,5.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,12.0,0.0,7.0,0.0
267,Kieran Tierney,Arsenal,2.3846153846153846,10.333333333333334,22.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,Joel Ward,Crystal Palace,2.3076923076923075,2.3076923076923075,0.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,18.0,2.0,0.0,0.0,0.0
269,Jefferson Lerma,Bournemouth,2.3076923076923075,2.727272727272727,0.0,0.0,9.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0
270,Jürgen Locadia,Brighton,2.3076923076923075,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,19.0
271,Michael Obafemi,Southampton,2.3076923076923075,6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
272,Emil Krafth,Newcastle,2.3076923076923075,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,2.0,0.0,4.0,0.0
273,Marc Albrighton,Leicester,2.230769230769231,4.833333333333333,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,11.0
274,Aaron Wan-Bissaka,Man Utd,2.230769230769231,2.6363636363636362,0.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,10.0,2.0,5.0,2.0
275,Eric Dier,Spurs,2.230769230769231,7.25,10.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
276,Andy Carroll,Newcastle,2.230769230769231,4.142857142857143,17.0,0.0,2.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
277,Djibril Sidibé,Everton,2.1538461538461537,4.666666666666667,0.0,22.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,Mario Vrancic,Norwich,2.1538461538461537,9.333333333333334,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0
279,Cédric Soares,Southampton,2.1538461538461537,5.6,12.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0
