,Name,Team number,Team,Team games,Played,Creativity per fixture,Creativity per game,Creativity GW29,Creativity GW28,Creativity GW27,Creativity GW26,Creativity GW25,Creativity GW24*,Creativity GW24,Creativity GW23,Creativity GW22,Creativity GW21,Creativity GW20,Creativity GW19,Creativity GW18,Creativity GW17,Creativity GW16,Creativity GW15,Creativity GW14,Creativity GW13,Creativity GW12,Creativity GW11,Creativity GW10,Creativity GW9,Creativity GW8,Creativity GW7,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1
49,Todd Cantwell,14,Norwich,29,29,14.993103448275864,14.993103448275864,2.3,23.5,13.9,22.9,23.1,,21.7,22.3,8.4,14.6,0.5,5.8,4.9,3.2,12.7,15.1,21.8,11.9,14.2,1.3,11.3,13.8,37.3,2.5,15.5,12.8,3.1,2.2,58.3,33.9
50,Pierre-Emile Højbjerg,16,Southampton,29,28,14.931034482758625,15.464285714285719,27.5,22.8,3.8,5.4,3.0,,14.0,2.8,1.8,15.4,22.9,11.3,12.1,32.4,4.4,37.3,18.7,22.6,0.0,1.3,33.8,31.8,30.2,8.0,6.8,39.3,14.5,2.8,5.2,1.1
51,Heung-Min Son,17,Spurs,29,21,14.86206896551724,20.523809523809522,0.0,0.0,0.0,27.1,2.3,,3.7,45.6,2.7,0.0,0.0,0.0,1.3,3.3,53.2,5.4,51.2,37.0,29.5,12.8,2.5,4.7,2.4,34.8,36.2,15.4,24.7,35.2,0.0,0.0
52,Manuel Lanzini,19,West Ham,29,19,14.579310344827588,22.252631578947373,0.0,0.0,0.0,0.0,0.1,18.8,2.3,5.9,4.2,12.0,32.9,40.8,,0.0,0.0,0.0,0.0,0.0,11.1,27.0,15.2,9.3,7.3,22.0,0.0,16.8,59.4,82.1,48.8,6.8
53,Serge Aurier,17,Spurs,29,24,14.475862068965515,17.491666666666664,10.6,24.6,1.5,12.6,1.4,,45.5,32.9,40.3,17.6,3.2,12.8,17.6,1.4,2.6,6.7,28.5,26.3,28.0,11.7,14.1,23.9,0.0,1.0,26.2,28.8,0.0,0.0,0.0,0.0
54,Andreas Pereira,12,Man Utd,29,23,14.43793103448276,18.20434782608696,0.0,0.0,0.0,0.8,6.3,,13.8,12.2,38.5,12.8,47.7,27.1,0.0,0.0,14.5,0.4,34.1,3.3,36.1,11.7,45.5,31.9,5.0,22.3,17.8,13.3,3.2,0.0,0.3,20.1
55,Jonjo Shelvey,13,Newcastle,29,17,14.110344827586207,24.070588235294117,43.3,11.3,0.0,0.0,0.0,,0.0,35.4,0.0,37.8,29.5,0.0,15.7,0.0,46.6,21.0,11.0,16.8,39.8,5.7,0.0,0.0,0.0,0.0,48.4,1.6,0.0,0.0,40.5,4.8
56,Diego Rico,3,Bournemouth,29,21,13.889655172413793,19.18095238095238,0.0,0.0,0.0,17.9,4.9,,1.1,19.0,0.0,0.9,11.8,0.0,6.6,29.0,1.0,27.3,31.3,15.6,1.8,9.9,16.5,39.3,19.2,86.3,15.0,31.8,0.0,0.0,0.0,16.6
57,Jordan Henderson,10,Liverpool,29,25,13.87586206896552,16.096,0.0,0.0,0.0,14.7,21.7,27.1,25.2,15.8,20.1,53.9,14.0,8.5,,12.7,30.9,16.7,3.0,18.2,16.2,32.5,17.7,7.6,1.6,8.7,2.6,0.0,16.8,6.7,3.3,6.2
58,Daniel James,12,Man Utd,29,27,13.85862068965517,14.885185185185183,1.6,0.0,17.9,11.3,11.8,,5.9,2.8,1.7,1.8,16.5,0.0,11.3,40.8,42.6,6.3,27.6,17.7,23.0,37.5,28.4,26.2,3.7,3.4,16.5,1.4,33.0,4.3,6.4,0.5
