,Name,Team,Team games,Played,Creativity per fixture adj,Creativity per game adj,Creativity GW29adj,Creativity GW28adj,Creativity GW27adj,Creativity GW26adj,Creativity GW25adj,Creativity GW24adj*,Creativity GW24adj,Creativity GW23adj,Creativity GW22adj,Creativity GW21adj,Creativity GW20adj,Creativity GW19adj,Creativity GW18adj,Creativity GW17adj,Creativity GW16adj,Creativity GW15adj,Creativity GW14adj,Creativity GW13adj,Creativity GW12adj,Creativity GW11adj,Creativity GW10adj,Creativity GW9adj,Creativity GW8adj,Creativity GW7adj,Creativity GW6adj,Creativity GW5adj,Creativity GW4adj,Creativity GW3adj,Creativity GW2adj,Creativity GW1adj
343,Kurt Zouma,Chelsea,29,22,0.004013774462078236,0.005290884518194038,0.0,,,0.0,,,,,,0.11639945940026884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
344,Gedson Carvalho Fernandes,Spurs,29,4,0.003960995525202618,0.028717217557718975,,0.09540269507977789,,0.0,,,0.0,0.019466175151098015,,,,,,,,,,,,,,,,,,,,,,
345,Kortney Hause,Aston Villa,28,11,0.0038752933296157775,0.00986438302084016,,,0.0,0.0,0.10850821322924177,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
346,Josip Drmic,Norwich,29,14,0.0037967969763581895,0.007864793736741964,0.0,0.0,0.1101071123143875,0.0,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0
347,Kevin Danso,Southampton,29,6,0.0037718946413259225,0.01823082409974196,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,,0.10938494459845176,0.0,,
348,Joseph Gomez,Liverpool,29,19,0.0037371286869489705,0.0057040385221852705,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02737842971752187,,0.0,0.06377080443395061,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,0.01722749777004766
349,Keinan Davis,Aston Villa,28,8,0.0037276819268571427,0.013046886744,0.06750634281449135,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,0.023473781863901557,,0.0,0.013394969273607086,,0.0,
350,Jay Rodriguez,Burnley,29,28,0.0036607370472263767,0.0037914776560558903,0.0,0.0,0.024530961749309906,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022698068894845262,0.0,0.0,0.0,0.0,0.0,0.0,0.05893234372540976,0.0,0.0,0.0,0.0,0.0,0.0
351,Arnaut Danjuma Groeneveld,Bournemouth,29,9,0.003649085329105581,0.011758163838229094,,,,,,,,,,,,,,,0.0,0.0,0.0,0.08174473332251529,0.0,,0.02407874122154656,0.0,0.0,0.0,,,,,,
352,Matej Vydra,Burnley,29,10,0.0036110113619991953,0.010471932949797666,0.050561935917211434,0.018775742602083947,0.016285317772413658,0.0,,,,,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,0.019096333206267614,,,,
