,assists,goals,h_a,id,key_passes,own_goals,player,player_id,position,positionOrder,red_card,roster_in,roster_out,shots,team_id,time,xA,xG,xGBuildup,xGChain,yellow_card,team_h_name,team_a_name,team_name,opponent_team_name,team_h,team_a,fixture,round
104,0,0,h,341242,0,0,Dwight McNeil,6756,ML,10,0,341246,0,0,92,87,0,0,0,0,0,Burnley,Southampton,5,16,5,16,3,1
105,0,2,h,341244,0,0,Ashley Barnes,4422,FW,15,0,341245,0,4,92,87,0,0.7244968414306641,0,0.7244968414306641,0,Burnley,Southampton,5,16,5,16,3,1
106,0,0,h,341243,0,0,Chris Wood,4456,FW,15,0,0,0,1,92,90,0,0.02326565608382225,0,0.02326565608382225,0,Burnley,Southampton,5,16,5,16,3,1
107,0,0,h,341245,0,0,Jay Rodriguez,844,Sub,17,0,0,341244,0,92,3,0,0,0,0,0,Burnley,Southampton,5,16,5,16,3,1
108,0,0,h,341246,0,0,Aaron Lennon,593,Sub,17,0,0,341242,0,92,3,0,0,0,0,0,Burnley,Southampton,5,16,5,16,3,1
109,0,0,a,341274,0,0,Jordan Pickford,741,GK,1,0,0,0,0,72,90,0,0,0.03903314098715782,0.03903314098715782,0,Crystal Palace,Everton,8,7,7,8,4,1
110,0,0,a,341275,0,0,Seamus Coleman,585,DR,2,0,0,0,1,72,90,0,0.42319732904434204,0.024009237065911293,0.44720658659935,0,Crystal Palace,Everton,8,7,7,8,4,1
111,0,0,a,341277,0,0,Michael Keane,1653,DC,3,0,0,0,0,72,90,0,0,0.03903314098715782,0.03903314098715782,0,Crystal Palace,Everton,8,7,7,8,4,1
112,0,0,a,341276,0,0,Yerry Mina,6521,DC,3,0,0,0,0,72,90,0,0,0.03903314098715782,0.03903314098715782,0,Crystal Palace,Everton,8,7,7,8,4,1
113,0,0,a,341278,1,0,Lucas Digne,1823,DL,4,0,0,0,1,72,90,0.1407676488161087,0.03903314098715782,0.1407676488161087,0.17980079352855682,0,Crystal Palace,Everton,8,7,7,8,4,1
114,0,0,a,341280,1,0,Andre Gomes,2383,DMC,7,0,341287,0,0,72,45,0.03569374233484268,0,0.03903314098715782,0.0747268870472908,0,Crystal Palace,Everton,8,7,7,8,4,1
115,0,0,a,341279,1,0,Morgan Schneiderlin,551,DMC,7,1,0,0,0,72,79,0.03903314098715782,0,0.024009237065911293,0.06304237991571426,0,Crystal Palace,Everton,8,7,7,8,4,1
116,0,0,a,341281,1,0,Richarlison,6026,AMR,11,0,0,0,3,72,90,0.024009237065911293,0.1524806022644043,0.17980079352855682,0.2889896631240845,0,Crystal Palace,Everton,8,7,7,8,4,1
