id,Name,web_name,Team number,Team,Team games,Played
627,Alexis Mac Allister,Mac Allister,4,Brighton,29,1
83,Ben Mee,Mee,5,Burnley,29,29
84,James Tarkowski,Tarkowski,5,Burnley,29,29
85,Matthew Lowton,Lowton,5,Burnley,29,15
86,Phil Bardsley,Bardsley,5,Burnley,29,14
87,Charlie Taylor,Taylor,5,Burnley,29,17
88,Kevin Long,Long,5,Burnley,29,1
89,Ben Gibson,Gibson,5,Burnley,29,0
90,Ashley Barnes,Barnes,5,Burnley,29,19
91,Chris Wood,Wood,5,Burnley,29,26
92,Matej Vydra,Vydra,5,Burnley,29,10
93,Nick Pope,Pope,5,Burnley,29,29
95,Joe Hart,Hart,5,Burnley,29,0
96,Johann Berg Gudmundsson,Gudmundsson,5,Burnley,29,7
97,Dwight McNeil,McNeil,5,Burnley,29,29
98,Robbie Brady,Brady,5,Burnley,29,14
99,Steven Defour,Defour,5,Burnley,29,0
100,Jeff Hendrick,Hendrick,5,Burnley,29,24
101,Ashley Westwood,Westwood,5,Burnley,29,26
102,Jack Cork,Cork,5,Burnley,29,27
430,Aaron Lennon,Lennon,5,Burnley,29,16
447,Erik Pieters,Pieters,5,Burnley,29,15
451,Jay Rodriguez,Rodriguez,5,Burnley,29,28
495,Bailey Peacock-Farrell,Peacock-Farrell,5,Burnley,29,0
571,Mace Goodridge,Goodridge,5,Burnley,29,0
572,Anthony Driscoll-Glennon,Driscoll-Glennon,5,Burnley,29,0
596,Abd-Al-Ali Morakinyo Olaposi Koiki,Koiki,5,Burnley,29,0
620,Josh Brownhill,Brownhill,5,Burnley,29,1
103,Marcos Alonso,Alonso,6,Chelsea,29,11
104,Antonio Rudiger,Rudiger,6,Chelsea,29,13
105,Cesar Azpilicueta,Azpilicueta,6,Chelsea,29,27
107,Emerson Palmieri dos Santos,Emerson,6,Chelsea,29,14
108,Andreas Christensen,Christensen,6,Chelsea,29,15
109,Davide Zappacosta,Zappacosta,6,Chelsea,29,0
110,Olivier Giroud,Giroud,6,Chelsea,29,9
111,Kepa Arrizabalaga,Kepa,6,Chelsea,29,25
112,Willy Caballero,Caballero,6,Chelsea,29,4
113,Willian Borges Da Silva,Willian,6,Chelsea,29,28
114,Pedro Rodriguez Ledesma,Pedro,6,Chelsea,29,9
115,Ruben Loftus-Cheek,Loftus-Cheek,6,Chelsea,29,0
116,Callum Hudson-Odoi,Hudson-Odoi,6,Chelsea,29,17
117,Ross Barkley,Barkley,6,Chelsea,29,13
118,Jorge Luiz Frello Filho,Jorginho,6,Chelsea,29,26
119,N'Golo Kante,Kante,6,Chelsea,29,18
121,Ethan Ampadu,Ampadu,6,Chelsea,29,0
431,Christian Pulisic,Pulisic,6,Chelsea,29,16
432,Mateo Kovacic,Kovacic,6,Chelsea,29,25
459,Kurt Zouma,Zouma,6,Chelsea,29,22
460,Tammy Abraham,Abraham,6,Chelsea,29,25
461,Michy Batshuayi,Batshuayi,6,Chelsea,29,16
462,Robert Kenedy Nunes do Nascimento,Kenedy,6,Chelsea,29,0
463,Mason Mount,Mount,6,Chelsea,29,29
506,Reece James,James,6,Chelsea,29,17
529,Fikayo Tomori,Tomori,6,Chelsea,29,15
533,Billy Gilmour,Gilmour,6,Chelsea,29,3
545,Addji Keaninkin Marc-Israel Guehi,Guehi,6,Chelsea,29,0
630,Faustino Anjorin,Anjorin,6,Chelsea,29,1
631,Armando Broja,Broja,6,Chelsea,29,1
123,Patrick van Aanholt,van Aanholt,7,Crystal Palace,29,22
124,James Tomkins,Tomkins,7,Crystal Palace,29,18
125,Mamadou Sakho,Sakho,7,Crystal Palace,29,8
126,Joel Ward,Ward,7,Crystal Palace,29,20
127,Scott Dann,Dann,7,Crystal Palace,29,9
128,Martin Kelly,Kelly,7,Crystal Palace,29,19
129,Christian Benteke,Benteke,7,Crystal Palace,29,20
130,Connor Wickham,Wickham,7,Crystal Palace,29,6
131,Vicente Guaita,Guaita,7,Crystal Palace,29,27
132,Wayne Hennessey,Hennessey,7,Crystal Palace,29,2
133,Wilfried Zaha,Zaha,7,Crystal Palace,29,29
134,Luka Milivojevic,Milivojevic,7,Crystal Palace,29,23
135,Andros Townsend,Townsend,7,Crystal Palace,29,15
136,Max Meyer,Meyer,7,Crystal Palace,29,13
137,Jeffrey Schlupp,Schlupp,7,Crystal Palace,29,14
138,James McArthur,McArthur,7,Crystal Palace,29,28
139,Cheikhou Kouyate,Kouyate,7,Crystal Palace,29,27
140,Luke Dreher,Dreher,7,Crystal Palace,29,0
146,Cenk Tosun,Tosun,7,Crystal Palace,29,10
157,James McCarthy,McCarthy,7,Crystal Palace,29,24
468,Jordan Ayew,Ayew,7,Crystal Palace,29,28
503,Gary Cahill,Cahill,7,Crystal Palace,29,20
510,Victor Camarasa,Camarasa,7,Crystal Palace,29,1
539,Jairo Riedewald,Riedewald,7,Crystal Palace,29,10
556,Stephen Henderson,Henderson,7,Crystal Palace,29,0
578,Sam Woods,Woods,7,Crystal Palace,29,0
579,Tyrick Mitchell,Mitchell,7,Crystal Palace,29,0
580,Brandon Pierrick,Pierrick,7,Crystal Palace,29,1
581,James Daly,Daly,7,Crystal Palace,29,0
588,Nya Kirby,Kirby,7,Crystal Palace,29,0
608,Giovanni McGregor,McGregor,7,Crystal Palace,29,0
17,Alex Iwobi,Iwobi,8,Everton,29,18
141,Lucas Digne,Digne,8,Everton,29,26
142,Yerry Mina,Mina,8,Everton,29,25
143,Michael Keane,Keane,8,Everton,29,22
144,Seamus Coleman,Coleman,8,Everton,29,18
145,Leighton Baines,Baines,8,Everton,29,5
147,Dominic Calvert-Lewin,Calvert-Lewin,8,Everton,29,27
148,Jordan Pickford,Pickford,8,Everton,29,29
149,Maarten Stekelenburg,Stekelenburg,8,Everton,29,0
150,Richarlison de Andrade,Richarlison,8,Everton,29,27
151,Gylfi Sigurdsson,Sigurdsson,8,Everton,29,26
152,Bernard Anicio Caldeira Duarte,Bernard,8,Everton,29,19
153,Theo Walcott,Walcott,8,Everton,29,21
154,Tom Davies,Davies,8,Everton,29,21
155,Ademola Lookman,Lookman,8,Everton,29,0
156,Idrissa Gueye,Gueye,8,Everton,29,0
158,Morgan Schneiderlin,Schneiderlin,8,Everton,29,15
205,Fabian Delph,Delph,8,Everton,29,16
422,Andre Filipe Tavares Gomes,Andre Gomes,8,Everton,29,11
477,Lewis Gibson,Gibson,8,Everton,29,0
478,Mason Holgate,Holgate,8,Everton,29,22
479,Jonas Lossl,Lossl,8,Everton,29,0
496,Moise Kean,Kean,8,Everton,29,22
497,Jean-Philippe Gbamin,Gbamin,8,Everton,29,2
511,Djibril Sidibe,Sidibe,8,Everton,29,21
557,Beni Baningime,Baningime,8,Everton,29,0
561,Anthony Gordon,Gordon,8,Everton,29,2
570,Oumar Niasse,Niasse,8,Everton,29,3
577,Rhu-endly Martina,Cuco Martina,8,Everton,29,0
629,Joao Manuel Neves Virginia,Virginia,8,Everton,29,0
159,Ricardo Domingos Barbosa Pereira,Pereira,9,Leicester,29,28
161,Benjamin Chilwell,Chilwell,9,Leicester,29,23
162,Jonny Evans,Evans,9,Leicester,29,29
163,Christian Fuchs,Fuchs,9,Leicester,29,8
164,Caglar Soyuncu,Soyuncu,9,Leicester,29,28
165,Wes Morgan,Morgan,9,Leicester,29,8
166,Jamie Vardy,Vardy,9,Leicester,29,26
167,Kelechi Iheanacho,Iheanacho,9,Leicester,29,12
168,Kasper Schmeichel,Schmeichel,9,Leicester,29,29
169,Eldin Jakupovic,Jakupovic,9,Leicester,29,0
170,Danny Ward,Ward,9,Leicester,29,0
171,James Maddison,Maddison,9,Leicester,29,28
172,Harvey Barnes,Barnes,9,Leicester,29,27
173,Rachid Ghezzal,Ghezzal,9,Leicester,29,0
174,Marc Albrighton,Albrighton,9,Leicester,29,14
175,Demarai Gray,Gray,9,Leicester,29,14
176,Wilfred Ndidi,Ndidi,9,Leicester,29,23
177,Matty James,James,9,Leicester,29,1
178,Daniel Amartey,Amartey,9,Leicester,29,0
179,Nampalys Mendy,Mendy,9,Leicester,29,5
180,Hamza Choudhury,Choudhury,9,Leicester,29,16
265,Ayoze Perez,Perez,9,Leicester,29,25
404,Ryan Bennett,Bennett,9,Leicester,29,11
433,James Justin,Justin,9,Leicester,29,4
448,Youri Tielemans,Tielemans,9,Leicester,29,28
480,Andy King,King,9,Leicester,29,0
517,Dennis Praet,Praet,9,Leicester,29,21
597,Filip Benkovic,Benkovic,9,Leicester,29,0
181,Andrew Robertson,Robertson,10,Liverpool,29,28
182,Trent Alexander-Arnold,Alexander-Arnold,10,Liverpool,29,29
183,Virgil van Dijk,van Dijk,10,Liverpool,29,29
184,Joseph Gomez,Gomez,10,Liverpool,29,19
185,Joel Matip,Matip,10,Liverpool,29,8
186,Dejan Lovren,Lovren,10,Liverpool,29,9
187,Roberto Firmino,Firmino,10,Liverpool,29,29
188,Divock Origi,Origi,10,Liverpool,29,22
189,Alisson Ramses Becker,Alisson,10,Liverpool,29,20
190,Simon Mignolet,Mignolet,10,Liverpool,29,0
191,Mohamed Salah,Salah,10,Liverpool,29,26
192,Sadio Mane,Mane,10,Liverpool,29,26
193,Alex Oxlade-Chamberlain,Chamberlain,10,Liverpool,29,21
