,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,yellow_cards,id,gameweek,fixture,team,teamAgainst,side
103,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,125,1,4,7,8,home
104,0,0,23,1,0.9,0,0,1.4,False,13.2,90,0,0,0,0,0,0.0,6,0,126,1,4,7,8,home
105,0,0,20,1,0.1,0,0,7.6,False,8.6,90,0,0,0,0,0,67.0,6,0,127,1,4,7,8,home
106,0,0,24,1,0.0,0,0,2.6,False,25.8,90,0,0,0,0,0,0.0,6,0,128,1,4,7,8,home
107,0,0,17,1,16.4,0,0,4.5,False,6.4,90,0,0,0,0,0,22.0,6,0,141,1,4,8,7,away
108,0,3,32,1,0.8,0,0,2.0,False,19.6,90,0,0,0,0,0,0.0,9,0,142,1,4,8,7,away
109,0,2,26,1,0.5,0,0,2.5,False,24.8,90,0,0,0,0,0,0.0,8,0,143,1,4,8,7,away
110,0,0,20,1,3.3,0,0,4.3,False,20.6,90,0,0,0,0,0,19.0,6,0,144,1,4,8,7,away
111,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,145,1,4,8,7,away
112,0,3,32,1,26.2,0,0,5.9,False,23.4,90,0,0,0,0,0,9.0,9,0,159,1,5,9,20,home
113,0,0,29,1,10.8,0,0,5.4,False,34.8,90,0,0,0,0,0,8.0,6,0,160,1,9,12,6,home
114,0,0,23,1,16.7,0,0,3.1,False,5.2,90,0,0,0,0,0,9.0,6,0,161,1,5,9,20,home
115,0,1,30,1,0.3,0,0,3.9,False,27.4,90,0,0,0,0,0,11.0,7,0,162,1,5,9,20,home
116,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,163,1,5,9,20,home
117,0,0,29,1,0.5,0,0,2.3,False,20.4,90,0,0,0,0,0,2.0,6,0,164,1,5,9,20,home
118,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,165,1,5,9,20,home
119,0,0,15,0,24.7,1,0,4.4,False,12.4,90,0,0,0,0,0,7.0,2,0,181,1,1,10,14,home
120,1,0,24,0,36.3,1,0,8.4,False,35.6,90,0,0,0,0,0,12.0,5,0,182,1,1,10,14,home
121,0,0,27,0,0.8,1,1,7.4,False,52.4,90,0,0,0,0,0,21.0,8,0,183,1,1,10,14,home
122,0,0,10,0,11.8,1,0,2.6,False,14.0,90,0,0,0,0,0,0.0,2,0,184,1,1,10,14,home
123,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,185,1,1,10,14,home
124,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,186,1,1,10,14,home
125,0,0,26,1,0.9,0,0,2.0,False,19.2,90,0,0,0,0,0,0.0,6,0,202,1,8,11,19,away
126,1,0,33,1,23.3,0,0,7.1,False,27.4,90,0,0,0,0,0,20.0,8,1,203,1,8,11,19,away
127,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,204,1,8,11,19,away
