,a,datetime,forecast,goals,h,id,isResult,xG
44,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",2019-09-14 14:00:00,"{'w': '0.4879', 'd': '0.3328', 'l': '0.1793'}","{'h': '4', 'a': '0'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",11687,True,"{'h': '1.04944', 'a': '0.577323'}"
45,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-09-14 14:00:00,"{'w': '0.0809', 'd': '0.1625', 'l': '0.7566'}","{'h': '2', 'a': '5'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",11688,True,"{'h': '1.49359', 'a': '3.06799'}"
46,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",2019-09-14 16:30:00,"{'w': '0.2487', 'd': '0.2462', 'l': '0.5051'}","{'h': '3', 'a': '2'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",11689,True,"{'h': '1.7413', 'a': '2.34436'}"
47,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",2019-09-15 13:00:00,"{'w': '0.3385', 'd': '0.2793', 'l': '0.3822'}","{'h': '3', 'a': '1'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",11690,True,"{'h': '1.41542', 'a': '1.50641'}"
48,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",2019-09-15 15:30:00,"{'w': '0.8062', 'd': '0.1365', 'l': '0.0573'}","{'h': '2', 'a': '2'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",11691,True,"{'h': '2.83209', 'a': '1.00616'}"
49,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",2019-09-16 19:00:00,"{'w': '0.6373', 'd': '0.2496', 'l': '0.1131'}","{'h': '0', 'a': '0'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",11692,True,"{'h': '1.40502', 'a': '0.535279'}"
50,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",2019-09-20 19:00:00,"{'w': '0.5961', 'd': '0.2395', 'l': '0.1644'}","{'h': '1', 'a': '3'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",11693,True,"{'h': '2.18021', 'a': '1.29773'}"
51,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",2019-09-21 11:30:00,"{'w': '0.3433', 'd': '0.2798', 'l': '0.3769'}","{'h': '2', 'a': '1'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",11694,True,"{'h': '1.28752', 'a': '1.33735'}"
52,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",2019-09-21 14:00:00,"{'w': '0.9996', 'd': '0.0004', 'l': '0'}","{'h': '8', 'a': '0'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",11695,True,"{'h': '6.63049', 'a': '0.344718'}"
53,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",2019-09-21 14:00:00,"{'w': '0.7897', 'd': '0.1472', 'l': '0.0631'}","{'h': '2', 'a': '0'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",11696,True,"{'h': '2.39312', 'a': '0.801428'}"
54,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",2019-09-21 14:00:00,"{'w': '0.5598', 'd': '0.3092', 'l': '0.131'}","{'h': '0', 'a': '2'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",11698,True,"{'h': '1.26041', 'a': '0.508011'}"
55,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",2019-09-21 16:30:00,"{'w': '0.3232', 'd': '0.3006', 'l': '0.3762'}","{'h': '0', 'a': '0'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",11699,True,"{'h': '1.09807', 'a': '1.21592'}"
56,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",2019-09-22 13:00:00,"{'w': '0.1739', 'd': '0.2419', 'l': '0.5842'}","{'h': '1', 'a': '1'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",11697,True,"{'h': '0.984777', 'a': '1.75572'}"
57,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",2019-09-22 13:00:00,"{'w': '0.1197', 'd': '0.2714', 'l': '0.6089'}","{'h': '2', 'a': '0'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",11700,True,"{'h': '0.51376', 'a': '1.27826'}"
58,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",2019-09-22 15:30:00,"{'w': '0.4027', 'd': '0.311', 'l': '0.2863'}","{'h': '1', 'a': '2'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",11701,True,"{'h': '1.23321', 'a': '1.03003'}"
59,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",2019-09-22 15:30:00,"{'w': '0.5722', 'd': '0.2195', 'l': '0.2083'}","{'h': '3', 'a': '2'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",11702,True,"{'h': '2.53209', 'a': '1.71546'}"
60,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}",2019-09-28 11:30:00,"{'w': '0.18', 'd': '0.2402', 'l': '0.5798'}","{'h': '0', 'a': '1'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",11703,True,"{'h': '1.17022', 'a': '1.97079'}"
61,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",2019-09-28 14:00:00,"{'w': '0.3564', 'd': '0.3113', 'l': '0.3323'}","{'h': '2', 'a': '1'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",11704,True,"{'h': '1.19008', 'a': '1.16256'}"
62,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",2019-09-28 14:00:00,"{'w': '0.3492', 'd': '0.3828', 'l': '0.268'}","{'h': '2', 'a': '0'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",11705,True,"{'h': '1.16363', 'a': '1.06615'}"
63,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",2019-09-28 14:00:00,"{'w': '0.1745', 'd': '0.2428', 'l': '0.5827'}","{'h': '2', 'a': '2'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",11706,True,"{'h': '0.914266', 'a': '1.66919'}"
